ID,Parameter,Symbol,Conditions,Min,Typ,Max,Guarantee Level,Export to datasheet,ID,Name,ID,Test Name,Test Number,Test #,Test Name,Test Type,Temp,Unit,Mean,Median,Standard Deviation,Min,Max,Unnamed: 10,Default Scales?,Process Dependent,Scale (Down),Offset (Down),Scale (Up),Offset (Up),N Sigma (Down),N Sigma (Up),GBD No Scale Min,GBD No Scale Max,GBD Min,GBD Max,EC/QA Low Limit (from tester),EC/QA High Limit (from tester),EC/QA Low Limit (Override),EC/QA High Limit (Override),EC / QA Min (Input),EC / QA Max (Input),GB Type,Tester Accuracy,HW Component Accuracy,T2T Gage or Combined Gage Sigma,B2B Gage Sigma,Correlation Target,Correlation Delta Min,Correlation Delta Max,Insertion Repeatability,Supply Mean Shift,Correlation Components Required?,Calculation Blank?,GB Test Type?,Limits Method,Temperature Components Required?,Means of Temperatures tested,Temperature Mean Shift (Min),Temperature Mean Shift (Max),NegDrift,PosDrift,Temperature Sigma Drift,Temperature Sigma Drift.1,Temperature Sigma Shift (Min),Temperature Sigma Shift (Max),Calculated Gage Components,Valid NegDrift,Valid PosDrift,EC Shift (Min),EC Shift (Max),Uncertainty GB (Min),Uncertainty GB (Max),Default Guardband (Min),Default Guardband (Max),Calculated Guardband (Min),Calculated Guardband (Max),Override Guardband (Min),Override Guardband (Max),Applied Guardband (Min),Applied Guardband (Max),Calc EC?,EC / QA Min (Output),EC / QA Max (Output),FT Min,FT Max,(For Calc Only) SPF (Min),(For Calc Only) SPF (Max),(For Calc Only) FT SPF (Min),(For Calc Only) FT SPF (Min).1,"QA
GBD
HZ06-PSPEC2-174,Input Leakage Current,,,-1,,3.5,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-619,IL_BCLK/SWCLK,HZ06-MVPATE-619,IL_BCLK/SWCLK,405,iLeak_lo_BCLK bclk_dc 12.d5 <> iLeak_lo_BCLK,uA,-0.00148,0.000333,999.731,iLeak_lo_BCLK bclk_dc 12.d5 <> iLeak_lo_BCLK,uA,-0.036,0.00144,223.35,iLeak_lo_BCLK bclk_dc 12.d5 <> iLeak_lo_BCLK,uA,2.77e-06,0.000394,845.427
HZ06-PSPEC2-174,Input Leakage Current,,,-1,,3.5,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-621,IL_DIN/SWDATA,HZ06-MVPATE-621,IL_DIN/SWDATA,415,iLeak_lo_DIN din_dc 12.a3 <> iLeak_lo_DIN,uA,0.000129,0.000384,780.536,iLeak_lo_DIN din_dc 12.a3 <> iLeak_lo_DIN,uA,0.000138,0.00042699999999999997,702.476,iLeak_lo_DIN din_dc 12.a3 <> iLeak_lo_DIN,uA,7.3e-05,0.00041,731.638
HZ06-PSPEC2-174,Input Leakage Current,,,-1,,3.5,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-629,IL_ICC,HZ06-MVPATE-629,IL_ICC,455,iLeak_lo_ICC icc 11.b32 <> iLeak_lo_ICC,uA,-0.00137,0.000848,392.46,iLeak_lo_ICC icc 11.b32 <> iLeak_lo_ICC,uA,-0.0355,0.00155,207.21,iLeak_lo_ICC icc 11.b32 <> iLeak_lo_ICC,uA,-7.709999999999999e-05,0.0007639999999999999,436.153
HZ06-PSPEC2-174,Input Leakage Current,,,-1,,3.5,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-620,IL_LRCLK,HZ06-MVPATE-620,IL_LRCLK,410,iLeak_lo_LRCLK lrclk_dc 12.b5 <> iLeak_lo_LRCLK,uA,-0.00112,0.000708,469.982,iLeak_lo_LRCLK lrclk_dc 12.b5 <> iLeak_lo_LRCLK,uA,-0.0353,0.00147,219.402,iLeak_lo_LRCLK lrclk_dc 12.b5 <> iLeak_lo_LRCLK,uA,0.0001,0.0006580000000000001,506.18
HZ06-PSPEC2-174,Input Leakage Current,,,-1,,3.5,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-628,IL_MCLK,HZ06-MVPATE-628,IL_MCLK,450,iLeak_lo_MCLK mclk_dc 12.d3 <> iLeak_lo_MCLK,uA,-0.00010700000000000001,0.00114,293.269,iLeak_lo_MCLK mclk_dc 12.d3 <> iLeak_lo_MCLK,uA,2.12e-05,0.00109,305.347,iLeak_lo_MCLK mclk_dc 12.d3 <> iLeak_lo_MCLK,uA,-0.00011100000000000001,0.00175,190.566
HZ06-PSPEC2-174,Input Leakage Current,,,-1,,3.5,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-625,IL_WDT,HZ06-MVPATE-625,IL_WDT,435,iLeak_lo_WDT wdt_dc 12.a4 <> iLeak_lo_WDT,uA,0.00024300000000000002,0.00139,239.761,iLeak_lo_WDT wdt_dc 12.a4 <> iLeak_lo_WDT,uA,0.000331,0.0011,301.913,iLeak_lo_WDT wdt_dc 12.a4 <> iLeak_lo_WDT,uA,0.00023199999999999997,0.00225,148.308
HZ06-PSPEC2-175,Input Capacitance,C IN,"DIN, MCLK/PDMRXCLK, PDMRXDAT",,3,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-176,Input Capacitance,,"BCLK, LRCLK, ICC/PDMTXCLK",,14,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-177,Input Voltage High,V IH,,0.7 x DVDD,,,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1044,Vih_ADDR,HZ06-MVPATE-1044,Vih_ADDR,8070,Vih ADDR  -1 <> Vih ADDR,mV,1040.0,5.909427,12.233,Vih ADDR  -1 <> Vih ADDR,mV,1030.0,5.110905000000001,14.786,Vih ADDR  -1 <> Vih ADDR,mV,1060.0,7.08047,9.466
HZ06-PSPEC2-177,Input Voltage High,V IH,,0.7 x DVDD,,,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1047,Vih_RESET,HZ06-MVPATE-1047,Vih_RESET,8095,Vih RESET  -1 <> Vih RESET,mV,1040.0,5.387075,13.255,Vih RESET  -1 <> Vih RESET,mV,1030.0,4.74386,15.685,Vih RESET  -1 <> Vih RESET,mV,1050.0,6.421251,10.365
HZ06-PSPEC2-178,Input Voltage Low,V IL,,,,0.3 x DVDD,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1034,Vil_ADDR,HZ06-MVPATE-1034,Vil_ADDR,8025,Vil ADDR  -1 <> Vil ADDR,V,0.735,0.0033299999999999996,19.915,Vil ADDR  -1 <> Vil ADDR,V,0.752,0.00302,23.915,Vil ADDR  -1 <> Vil ADDR,V,0.718,0.00445,13.509
HZ06-PSPEC2-178,Input Voltage Low,V IL,,,,0.3 x DVDD,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1038,Vil_RESET,HZ06-MVPATE-1038,Vil_RESET,8090,Vil RESET  -1 <> Vil RESET,mV,736.6897,3.617507,23.902,Vil RESET  -1 <> Vil RESET,mV,752.8168,3.4092519999999995,23.778,Vil RESET  -1 <> Vil RESET,mV,720.1379,4.722044,19.542
HZ06-PSPEC2-179,Input Leakage Current,,,-1,,1,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-643,IH_ADDR,HZ06-MVPATE-643,IH_ADDR,525,iLeak_hi_ADDR addr_dc 12.d4 <> iLeak_hi_ADDR,uA,0.0005610000000000001,0.000405,821.463,iLeak_hi_ADDR addr_dc 12.d4 <> iLeak_hi_ADDR,uA,0.000587,0.00040300000000000004,825.227,iLeak_hi_ADDR addr_dc 12.d4 <> iLeak_hi_ADDR,uA,0.000593,0.00047000000000000004,708.458
HZ06-PSPEC2-179,Input Leakage Current,,,-1,,1,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-644,IH_RESET,HZ06-MVPATE-644,IH_RESET,530,iLeak_hi_RESET  -1 <> iLeak_hi_RESET,uA,0.000672,0.000446,746.297,iLeak_hi_RESET  -1 <> iLeak_hi_RESET,uA,0.0008460000000000001,0.000433,769.631,iLeak_hi_RESET  -1 <> iLeak_hi_RESET,uA,0.000662,0.000472,706.169
HZ06-PSPEC2-179,Input Leakage Current,,,-1,,1,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-626,IL_ADDR,HZ06-MVPATE-626,IL_ADDR,440,iLeak_lo_ADDR addr_dc 12.d4 <> iLeak_lo_ADDR,uA,1.05e-05,0.000439,758.45,iLeak_lo_ADDR addr_dc 12.d4 <> iLeak_lo_ADDR,uA,-4.1700000000000004e-05,0.000482,690.344,iLeak_lo_ADDR addr_dc 12.d4 <> iLeak_lo_ADDR,uA,-8.93e-07,0.0005200000000000001,640.43
HZ06-PSPEC2-179,Input Leakage Current,,,-1,,1,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-627,IL_RESET,HZ06-MVPATE-627,IL_RESET,445,iLeak_lo_RESET reset  <> iLeak_lo_RESET,uA,-0.000259,0.000624,480.266,iLeak_lo_RESET reset  <> iLeak_lo_RESET,uA,-0.00020899999999999998,0.000633,473.817,iLeak_lo_RESET reset  <> iLeak_lo_RESET,uA,-0.000367,0.000593,505.725
HZ06-PSPEC2-180,Input Capacitance,,,,3,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,,,,,
HZ06-PSPEC2-181,Output Voltage High,V OH,"I OH = 4mA, normal drive mode",V DVDD  - 0.3,,,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1056,Voh_BCLK_01,HZ06-MVPATE-1056,Voh_BCLK_01,8165,Voh BCLK 8mA  -1 <> Voh BCLK 8mA,V,1.6379700000000001,0.000606,61.593,Voh BCLK 8mA  -1 <> Voh BCLK 8mA,V,1.607726,0.000733,41.11,Voh BCLK 8mA  -1 <> Voh BCLK 8mA,V,1.671343,0.000686,52.306
HZ06-PSPEC2-181,Output Voltage High,V OH,"I OH = 4mA, normal drive mode",V DVDD  - 0.3,,,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1055,Voh_DOUT_01,HZ06-MVPATE-1055,Voh_DOUT_01,8160,Voh DOUT 8mA  -1 <> Voh DOUT 8mA,V,1.6376190000000002,0.00159,26.481,Voh DOUT 8mA  -1 <> Voh DOUT 8mA,V,1.6071600000000001,0.00168,19.587,Voh DOUT 8mA  -1 <> Voh DOUT 8mA,V,1.670953,0.0016,24.974
HZ06-PSPEC2-181,Output Voltage High,V OH,"I OH = 4mA, normal drive mode",V DVDD  - 0.3,,,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1058,Voh_ICC_01,HZ06-MVPATE-1058,Voh_ICC_01,8175,Voh ICC 8mA  -1 <> Voh ICC 8mA,V,1.6334790000000001,0.00164,24.918,Voh ICC 8mA  -1 <> Voh ICC 8mA,V,1.6021530000000002,0.00187,16.869,Voh ICC 8mA  -1 <> Voh ICC 8mA,V,1.667603,0.0015300000000000001,26.562
HZ06-PSPEC2-181,Output Voltage High,V OH,"I OH = 4mA, normal drive mode",V DVDD  - 0.3,,,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1057,Voh_LRCLK_01,HZ06-MVPATE-1057,Voh_LRCLK_01,8170,Voh LRCLK 8mA  -1 <> Voh LRCLK 8mA,V,1.636686,0.000642,58.211,Voh LRCLK 8mA  -1 <> Voh LRCLK 8mA,V,1.6062610000000002,0.0006730000000000001,43.576,Voh LRCLK 8mA  -1 <> Voh LRCLK 8mA,V,1.669972,0.0007,51.993
HZ06-PSPEC2-182,Output Voltage Low,V OL,"I OL = 4mA, normal drive mode",,,0.3,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1072,Vol_BCLK_01,HZ06-MVPATE-1072,Vol_BCLK_01,8145,Vol BCLK 8mA  -1 <> Vol BCLK 8mA,mV,135.7196,1.443024,31.108,Vol BCLK 8mA  -1 <> Vol BCLK 8mA,mV,161.2338,1.7265669999999997,26.611,Vol BCLK 8mA  -1 <> Vol BCLK 8mA,mV,111.9814,1.141567,32.434
HZ06-PSPEC2-182,Output Voltage Low,V OL,"I OL = 4mA, normal drive mode",,,0.3,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1071,Vol_DOUT_01,HZ06-MVPATE-1071,Vol_DOUT_01,8140,Vol DOUT 8mA  -1 <> Vol DOUT 8mA,mV,123.8673,1.9538330000000002,21.022,Vol DOUT 8mA  -1 <> Vol DOUT 8mA,mV,149.2702,2.149341,23.017,Vol DOUT 8mA  -1 <> Vol DOUT 8mA,mV,100.4633,1.9586290000000002,17.026
HZ06-PSPEC2-182,Output Voltage Low,V OL,"I OL = 4mA, normal drive mode",,,0.3,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1074,Vol_ICC_01,HZ06-MVPATE-1074,Vol_ICC_01,8155,Vol ICC 8mA  -1 <> Vol ICC 8mA,mV,130.137,2.089882,20.65,Vol ICC 8mA  -1 <> Vol ICC 8mA,mV,156.8593,2.397411,19.814,Vol ICC 8mA  -1 <> Vol ICC 8mA,mV,105.3309,2.104639,16.614
HZ06-PSPEC2-182,Output Voltage Low,V OL,"I OL = 4mA, normal drive mode",,,0.3,"II - Production Tested @ Room Temp, Characterized @ Multiple Temps",Yes,HZ06-MVPHUB-1073,Vol_LRCLK_01,HZ06-MVPATE-1073,Vol_LRCLK_01,8150,Vol LRCLK 8mA  -1 <> Vol LRCLK 8mA,mV,136.6751,1.330857,31.53,Vol LRCLK 8mA  -1 <> Vol LRCLK 8mA,mV,162.2719,1.6623029999999999,25.801,Vol LRCLK 8mA  -1 <> Vol LRCLK 8mA,mV,113.0825,1.073474,32.277
HZ06-PSPEC2-183,Output Current,I OH,Highest drive mode,,16,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1064,Voh_BCLK_11,HZ06-MVPATE-1064,Voh_BCLK_11,8245,Voh BCLK 16mA  -1 <> Voh BCLK 16mA,V,1.3982139999999998,0.0012699999999999999,38.965,Voh BCLK 16mA  -1 <> Voh BCLK 16mA,V,1.3244690000000001,0.00165,15.076,Voh BCLK 16mA  -1 <> Voh BCLK 16mA,V,1.477523,0.00141,53.707
HZ06-PSPEC2-183,Output Current,I OH,Highest drive mode,,16,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1063,Voh_DOUT_11,HZ06-MVPATE-1063,Voh_DOUT_11,8240,Voh DOUT 16mA  -1 <> Voh DOUT 16mA,V,1.413573,0.0019100000000000002,28.499,Voh DOUT 16mA  -1 <> Voh DOUT 16mA,V,1.340252,0.00231,13.037,Voh DOUT 16mA  -1 <> Voh DOUT 16mA,V,1.492316,0.0017699999999999999,45.589
HZ06-PSPEC2-183,Output Current,I OH,Highest drive mode,,16,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1066,Voh_ICC_11,HZ06-MVPATE-1066,Voh_ICC_11,8255,Voh ICC 16mA  -1 <> Voh ICC 16mA,V,1.404002,0.00243,21.085,Voh ICC 16mA  -1 <> Voh ICC 16mA,V,1.3280239999999999,0.00302,8.617,Voh ICC 16mA  -1 <> Voh ICC 16mA,V,1.485467,0.00214,36.649
HZ06-PSPEC2-183,Output Current,I OH,Highest drive mode,,16,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1065,Voh_LRCLK_11,HZ06-MVPATE-1065,Voh_LRCLK_11,8250,Voh LRCLK 16mA  -1 <> Voh LRCLK 16mA,V,1.394952,0.00137,35.181,Voh LRCLK 16mA  -1 <> Voh LRCLK 16mA,V,1.320775,0.0015199999999999999,15.508,Voh LRCLK 16mA  -1 <> Voh LRCLK 16mA,V,1.4734909999999999,0.00162,45.893
HZ06-PSPEC2-183,Output Current,I OH,Highest drive mode,,16,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1080,Vol_BCLK_11,HZ06-MVPATE-1080,Vol_BCLK_11,8225,Vol BCLK 16mA  -1 <> Vol BCLK 16mA,mV,334.9173,3.719612,10.761,Vol BCLK 16mA  -1 <> Vol BCLK 16mA,mV,396.6791,4.7236769999999995,4.116,Vol BCLK 16mA  -1 <> Vol BCLK 16mA,mV,278.5549,2.799492,21.009
HZ06-PSPEC2-183,Output Current,I OH,Highest drive mode,,16,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1079,Vol_DOUT_11,HZ06-MVPATE-1079,Vol_DOUT_11,8220,Vol DOUT 16mA  -1 <> Vol DOUT 16mA,mV,305.9195,3.697859,13.438,Vol DOUT 16mA  -1 <> Vol DOUT 16mA,mV,366.8165,4.781629,6.147,Vol DOUT 16mA  -1 <> Vol DOUT 16mA,mV,250.9133,3.205909,21.22
HZ06-PSPEC2-183,Output Current,I OH,Highest drive mode,,16,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1082,Vol_ICC_11,HZ06-MVPATE-1082,Vol_ICC_11,8235,Vol ICC 16mA  -1 <> Vol ICC 16mA,mV,327.5066,4.143361,10.257,Vol ICC 16mA  -1 <> Vol ICC 16mA,mV,393.2959,5.2687919999999995,3.904,Vol ICC 16mA  -1 <> Vol ICC 16mA,mV,267.6911,3.573753,17.471
HZ06-PSPEC2-183,Output Current,I OH,Highest drive mode,,16,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1081,Vol_LRCLK_11,HZ06-MVPATE-1081,Vol_LRCLK_11,8230,Vol LRCLK 16mA  -1 <> Vol LRCLK 16mA,mV,339.20099999999996,3.3823190000000003,11.412,Vol LRCLK 16mA  -1 <> Vol LRCLK 16mA,mV,401.1523,4.670325,3.843,Vol LRCLK 16mA  -1 <> Vol LRCLK 16mA,mV,283.44599999999997,2.576319,22.196
HZ06-PSPEC2-184,Output Current,I OH,High drive mode,,12,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1060,Voh_BCLK_10,HZ06-MVPATE-1060,Voh_BCLK_10,8205,Voh BCLK 12mA  -1 <> Voh BCLK 12mA,V,1.426181,0.0012900000000000001,45.57,Voh BCLK 12mA  -1 <> Voh BCLK 12mA,V,1.354754,0.00159,21.941,Voh BCLK 12mA  -1 <> Voh BCLK 12mA,V,1.503021,0.00134,62.969
HZ06-PSPEC2-184,Output Current,I OH,High drive mode,,12,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1059,Voh_DOUT_10,HZ06-MVPATE-1059,Voh_DOUT_10,8200,Voh DOUT 12mA  -1 <> Voh DOUT 12mA,V,1.436234,0.00201,30.883,Voh DOUT 12mA  -1 <> Voh DOUT 12mA,V,1.365076,0.00236,16.275,Voh DOUT 12mA  -1 <> Voh DOUT 12mA,V,1.5128620000000002,0.0019199999999999998,45.593
HZ06-PSPEC2-184,Output Current,I OH,High drive mode,,12,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1062,Voh_ICC_10,HZ06-MVPATE-1062,Voh_ICC_10,8215,Voh ICC 12mA  -1 <> Voh ICC 12mA,V,1.430417,0.00233,25.844,Voh ICC 12mA  -1 <> Voh ICC 12mA,V,1.35693,0.00302,11.814,Voh ICC 12mA  -1 <> Voh ICC 12mA,V,1.509808,0.0020800000000000003,41.658
HZ06-PSPEC2-184,Output Current,I OH,High drive mode,,12,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1061,Voh_LRCLK_10,HZ06-MVPATE-1061,Voh_LRCLK_10,8210,Voh LRCLK 12mA  -1 <> Voh LRCLK 12mA,V,1.423569,0.0013800000000000002,42.047,Voh LRCLK 12mA  -1 <> Voh LRCLK 12mA,V,1.351647,0.0015300000000000001,22.184,Voh LRCLK 12mA  -1 <> Voh LRCLK 12mA,V,1.499939,0.00149,56.042
HZ06-PSPEC2-184,Output Current,I OH,High drive mode,,12,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1076,Vol_BCLK_10,HZ06-MVPATE-1076,Vol_BCLK_10,8185,Vol BCLK 12mA  -1 <> Vol BCLK 12mA,mV,309.9516,3.559286,13.584,Vol BCLK 12mA  -1 <> Vol BCLK 12mA,mV,370.0419,4.529123,6.253,Vol BCLK 12mA  -1 <> Vol BCLK 12mA,mV,255.2908,2.73902,24.304
HZ06-PSPEC2-184,Output Current,I OH,High drive mode,,12,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1075,Vol_DOUT_10,HZ06-MVPATE-1075,Vol_DOUT_10,8180,Vol DOUT 12mA  -1 <> Vol DOUT 12mA,mV,286.9467,3.6191720000000003,15.478,Vol DOUT 12mA  -1 <> Vol DOUT 12mA,mV,346.3244,4.3383519999999995,8.35,Vol DOUT 12mA  -1 <> Vol DOUT 12mA,mV,233.2519,3.185523,23.204
HZ06-PSPEC2-184,Output Current,I OH,High drive mode,,12,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1078,Vol_ICC_10,HZ06-MVPATE-1078,Vol_ICC_10,8195,Vol ICC 12mA  -1 <> Vol ICC 12mA,mV,301.4799,3.998818,12.797,Vol ICC 12mA  -1 <> Vol ICC 12mA,mV,364.1121,4.893565,6.191,Vol ICC 12mA  -1 <> Vol ICC 12mA,mV,244.6009,3.2959870000000002,21.278
HZ06-PSPEC2-184,Output Current,I OH,High drive mode,,12,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1077,Vol_LRCLK_10,HZ06-MVPATE-1077,Vol_LRCLK_10,8190,Vol LRCLK 12mA  -1 <> Vol LRCLK 12mA,mV,312.8357,3.307557,14.327,Vol LRCLK 12mA  -1 <> Vol LRCLK 12mA,mV,372.8863,4.451412,6.149,Vol LRCLK 12mA  -1 <> Vol LRCLK 12mA,mV,258.7554,2.55884,25.564
HZ06-PSPEC2-185,Output Current,I OH,Normal drive mode,,8,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1056,Voh_BCLK_01,HZ06-MVPATE-1056,Voh_BCLK_01,8165,Voh BCLK 8mA  -1 <> Voh BCLK 8mA,V,1.6379700000000001,0.000606,61.593,Voh BCLK 8mA  -1 <> Voh BCLK 8mA,V,1.607726,0.000733,41.11,Voh BCLK 8mA  -1 <> Voh BCLK 8mA,V,1.671343,0.000686,52.306
HZ06-PSPEC2-185,Output Current,I OH,Normal drive mode,,8,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1055,Voh_DOUT_01,HZ06-MVPATE-1055,Voh_DOUT_01,8160,Voh DOUT 8mA  -1 <> Voh DOUT 8mA,V,1.6376190000000002,0.00159,26.481,Voh DOUT 8mA  -1 <> Voh DOUT 8mA,V,1.6071600000000001,0.00168,19.587,Voh DOUT 8mA  -1 <> Voh DOUT 8mA,V,1.670953,0.0016,24.974
HZ06-PSPEC2-185,Output Current,I OH,Normal drive mode,,8,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1058,Voh_ICC_01,HZ06-MVPATE-1058,Voh_ICC_01,8175,Voh ICC 8mA  -1 <> Voh ICC 8mA,V,1.6334790000000001,0.00164,24.918,Voh ICC 8mA  -1 <> Voh ICC 8mA,V,1.6021530000000002,0.00187,16.869,Voh ICC 8mA  -1 <> Voh ICC 8mA,V,1.667603,0.0015300000000000001,26.562
HZ06-PSPEC2-185,Output Current,I OH,Normal drive mode,,8,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1057,Voh_LRCLK_01,HZ06-MVPATE-1057,Voh_LRCLK_01,8170,Voh LRCLK 8mA  -1 <> Voh LRCLK 8mA,V,1.636686,0.000642,58.211,Voh LRCLK 8mA  -1 <> Voh LRCLK 8mA,V,1.6062610000000002,0.0006730000000000001,43.576,Voh LRCLK 8mA  -1 <> Voh LRCLK 8mA,V,1.669972,0.0007,51.993
HZ06-PSPEC2-185,Output Current,I OH,Normal drive mode,,8,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1072,Vol_BCLK_01,HZ06-MVPATE-1072,Vol_BCLK_01,8145,Vol BCLK 8mA  -1 <> Vol BCLK 8mA,mV,135.7196,1.443024,31.108,Vol BCLK 8mA  -1 <> Vol BCLK 8mA,mV,161.2338,1.7265669999999997,26.611,Vol BCLK 8mA  -1 <> Vol BCLK 8mA,mV,111.9814,1.141567,32.434
HZ06-PSPEC2-185,Output Current,I OH,Normal drive mode,,8,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1071,Vol_DOUT_01,HZ06-MVPATE-1071,Vol_DOUT_01,8140,Vol DOUT 8mA  -1 <> Vol DOUT 8mA,mV,123.8673,1.9538330000000002,21.022,Vol DOUT 8mA  -1 <> Vol DOUT 8mA,mV,149.2702,2.149341,23.017,Vol DOUT 8mA  -1 <> Vol DOUT 8mA,mV,100.4633,1.9586290000000002,17.026
HZ06-PSPEC2-185,Output Current,I OH,Normal drive mode,,8,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1074,Vol_ICC_01,HZ06-MVPATE-1074,Vol_ICC_01,8155,Vol ICC 8mA  -1 <> Vol ICC 8mA,mV,130.137,2.089882,20.65,Vol ICC 8mA  -1 <> Vol ICC 8mA,mV,156.8593,2.397411,19.814,Vol ICC 8mA  -1 <> Vol ICC 8mA,mV,105.3309,2.104639,16.614
HZ06-PSPEC2-185,Output Current,I OH,Normal drive mode,,8,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1073,Vol_LRCLK_01,HZ06-MVPATE-1073,Vol_LRCLK_01,8150,Vol LRCLK 8mA  -1 <> Vol LRCLK 8mA,mV,136.6751,1.330857,31.53,Vol LRCLK 8mA  -1 <> Vol LRCLK 8mA,mV,162.2719,1.6623029999999999,25.801,Vol LRCLK 8mA  -1 <> Vol LRCLK 8mA,mV,113.0825,1.073474,32.277
HZ06-PSPEC2-186,Output Current,I OH,Reduced drive mode,,4,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1068,Voh_BCLK_00,HZ06-MVPATE-1068,Voh_BCLK_00,8125,Voh BCLK 4mA  -1 <> Voh BCLK 4mA,V,1.484402,0.00144,31.153,Voh BCLK 4mA  -1 <> Voh BCLK 4mA,V,1.416184,0.00165,13.408,Voh BCLK 4mA  -1 <> Voh BCLK 4mA,V,1.55713,0.00134,51.356
HZ06-PSPEC2-186,Output Current,I OH,Reduced drive mode,,4,,"V - Not Production Tested, Characterized by Bench (GBDC)",Yes,HZ06-MVPHUB-1067,Voh_DOUT_00,HZ06-MVPATE-1067,Voh_DOUT_00,8120,Voh DOUT 4mA  -1 <> Voh DOUT 4mA,V,1.48309,0.002,22.139,Voh DOUT 4mA  -1 <> Voh DOUT 4mA,V,1.414612,0.00225,9.574,Voh DOUT 4mA  -1 <> Voh DOUT 4mA,V,1.55613,0.0017399999999999998,39.506
